Relevance,Offer Type,Channel,Video Title,Views,Target Audience,Target Niche,Setup Fee (Low),Setup Fee (High),Monthly (Low),Monthly (High),Pricing Model,Revenue Claim,Delivery Method,Tools,Client Acquisition,Time to Deliver,Team Needed,Key Insight,Best Quote,Link
7,chatbot,Charlie Barber,The ONLY AI Agent Tutorial You Need in 2026 (n8n chatbuilder),1815,B2B,"technology, automation",,,,,null,,online tutorial,n8n chatbuilder,through community and downloadable templates,,solo,Utilizing n8n chatbuilder for efficient chatbot creation and client acquisition.,,https://www.youtube.com/watch?v=qbysSCFfE9Q
7,general_ai_agency,Chris Koerner on The Koerner Office Podcast,The Beginner-Friendly Claude AI Side Hustle Nobody Talks About,101077,Both,,,,,,null,,online platform,"Claude AI, HighLevel",through online platforms and promotions,,solo,Utilizing lesser-known AI tools can provide unique opportunities in the market.,,https://www.youtube.com/watch?v=quYKZushRPo
7,general_ai_agency,Franklin Hatchett,How To Make Your First $6000 In 2026 With AI (make money online),38755,Both,general,,,,,null,First $6000,online training and mentorship,,not specified,,solo,Beginners can leverage AI to make money online with proper training and mentorship.,This is how you make money online with AI in 2026. Beginners can even do this.,https://www.youtube.com/watch?v=r1w04acSwiM
7,micro_saas,Chris Koerner on The Koerner Office Podcast,How to Build & Sell Micro Apps in 2026 (Using Only AI),73687,Both,"tech entrepreneurs, developers",,,,,subscription,,online platforms,Claude,through online marketing and networking,,solo,Utilizing AI to streamline the development process of micro apps can significantly reduce time and resources needed.,Claude was the clear winner in this build test.,https://www.youtube.com/watch?v=r2-1c_T6F34
7,content_creation,Brown Guy AI,"How to Vibe Code Websites (Build Once, Sell for $5,000)",239,B2B,web development,5000,,,,project_based,"Build once, sell for $5,000",Online course or templates,Vibe Code,Through online platforms and personal networks,Depends on project complexity,solo,Utilize AI tools to streamline website creation and maximize profit.,"Build once, sell for $5,000",https://www.youtube.com/watch?v=rScQW-EFmCE
7,email_automation,GoDaddy,Email Marketing Automation and AI Tools,267,B2B,small businesses,,,,,subscription,,software platform,GoDaddy,,,solo,Using AI to optimize email timing and targeting for better engagement.,,https://www.youtube.com/watch?v=rUwSBirPHhY
7,general_ai_agency,TED,How AI Could Empower Any Business | Andrew Ng | TED,1281617,Both,various industries,,,,,null,,consulting and AI tools,AI systems,through educational content and thought leadership,,small team,AI can be made more accessible to businesses by reducing the need for highly skilled engineers and lowering costs.,"Expensive to build and often needing highly skilled engineers to maintain, artificial intelligence systems generally only pay off for...",https://www.youtube.com/watch?v=reUZRyXxUs4
7,general_ai_agency,Pedro & Zach,"3 tools to help you close your first $3,000 ai agency client",92,B2B,AI agencies,,,,,,"$3,000 client",online consultation,ironeousbydesign.com,through online growth calls,,small team,Using specific tools can help secure high-value clients.,,https://www.youtube.com/watch?v=rnExLNRtrjo
7,general_ai_agency,Jasper Aiken,How To REALISTICALLY Quit Your 9-5 Job (With A Marketing Agency),3852,B2B,marketing agencies,,,,,subscription,,online platform,GoHighLevel,through online marketing and lead generation,,solo,Utilizing platforms like GoHighLevel can streamline agency operations and client management.,30-Day free trial to GoHighLevel (+ $10000 in Bonuses).,https://www.youtube.com/watch?v=s3PBxQZPUpE
7,general_ai_agency,Charlie Barber,WATCH This Before Selling AI Automations!,715,B2B,various industries,,,,,null,,online training and templates,systemkit.io,through free training and templates,,small team,Utilizing free resources and templates can aid in acquiring clients for AI automation services.,,https://www.youtube.com/watch?v=sDZPAtOk61s
7,general_ai_agency,Paul J Lipsky,5 BEST AI Side Hustles for Beginners in 2026 (Personally Tested),63795,Both,general,,,,,,,online tutorials and guidance,AI tools,through online platforms and personal networks,,solo,Start with simple AI tools to build experience and scale up.,AI side hustles are a great way to leverage technology for additional income streams.,https://www.youtube.com/watch?v=sEfuolqQstA
7,recruiting_automation,Recruiter Preston,Top AI Tools for Recruiters Under $100 ?!,2388,B2B,recruitment,,,,100,subscription,6-7 Figure Recruitment Agency,online platforms,AI tools for recruiters,,,solo,Affordable AI tools can significantly enhance recruitment processes without high costs.,,https://www.youtube.com/watch?v=sTDW2dxmUqY
7,general_ai_agency,Zubair Trabzada | AI Workshop,Everyone’s Lying About AI Agencies in 2026 (Here’s the Truth),3412,Both,,,,,,,,,,,,,The video aims to debunk myths and provide a realistic view of AI agencies in the future.,,https://www.youtube.com/watch?v=sZuCvNOF4dg
7,workflow_automation,Nick Saraev,CLAUDE SKILLS FULL COURSE: Automate Your Work (2026),120718,Both,general,,,,,subscription,,online course,Claude,via Maker School platform,,solo,Using Claude skills can significantly streamline and automate work processes.,,https://www.youtube.com/watch?v=sduaTkhIm_w
7,micro_saas,SaaS University,My AI Agent Setup as a Solo Founder (2026),277,Both,"tech entrepreneurs, solo founders",,,,,subscription,,online course or guide,,through online marketing and educational content,60 days,solo,Building a micro SaaS can be achieved in a short time frame with the right guidance.,,https://www.youtube.com/watch?v=si52P0W3yhU
7,general_ai_agency,Jake Howard,Cold Calling for AI Agency: What It's Really Like...,1564,B2B,,,,,,,,cold calling,,cold calling businesses,,solo,Cold calling is a direct method to reach potential clients and pitch AI services.,,https://www.youtube.com/watch?v=sjqAtSQGp4w
7,general_ai_agency,Oliver Rasmussen,4 Easy Ways to Sell AI Agents,1046,Both,various industries,,,,,null,making money with AI,online community,,joining a community to learn strategies,,solo,Joining a community can provide valuable insights and strategies for selling AI agents.,Join the Free AI Automation Community (A–Z) and learn how to start making money with AI.,https://www.youtube.com/watch?v=sxGV5ehxdEc
7,general_ai_agency,AI Foundations,Here's how to build & sell AI systems using Claude Code,10349,B2B,"technology, startups, businesses looking to integrate AI",,,,,project_based,,"online courses, tutorials","Claude Code, lerty.ai",through online communities and educational platforms,,1-2,"Utilizing Claude Code can streamline the process of building AI systems, making it accessible for smaller teams.",Best Tool for Building Systems: https://lerty.ai,https://www.youtube.com/watch?v=t6NxHM5peus
7,content_creation,Mikey Flows,I Used AI to Create 100 Monetizable Longform YouTube Videos (N8N + No Code),44355,Both,"content creators, YouTubers",,,,,null,,online platform,"n8n, no-code tools",through YouTube channel and website,,solo,Using no-code tools like n8n can significantly streamline content creation processes.,,https://www.youtube.com/watch?v=tboScAwJCAE
7,chatbot,Fchat multi_chanel chatbot,Chatbot for Dental Clinics,578,B2B,dental clinics,,,,,,,software integration,,,,1-2,,,https://www.youtube.com/watch?v=u3Ux6u-JK30
7,general_ai_agency,SalesHive,Objection Handling: AI Responses That Win,41,B2B,sales teams,,,,,null,,AI solutions for sales teams,,,,small team,AI can significantly enhance objection handling in sales processes.,,https://www.youtube.com/watch?v=u6snQ2T43cM
7,general_ai_agency,Charlie Chang,Top 5 AI Tools Every Business Owner Should Be Using (2026 Edition),12489,B2B,business owners,,,,,,These AI tools have saved tens of thousands of dollars a month.,AI tools,"Notion AI, Jasper, Synthesia, Descript, Zapier",,,,AI tools can significantly reduce operational costs for businesses.,These 5 AI tools have saved me tens of thousands of dollars a month in software and payroll costs.,https://www.youtube.com/watch?v=uF9wm7BquKQ
7,general_ai_agency,Patrick Dang,The #1 Claude AI Side Hustle Nobody Is Talking About,142480,Both,entrepreneurs,,,,,null,,online platform,Claude AI,through online platforms and personal branding,,solo,Utilizing AI tools like Claude can help generate unique business ideas efficiently.,Claude AI can be a powerful tool for generating business ideas that nobody is talking about.,https://www.youtube.com/watch?v=uJeHGmMir5Q
7,general_ai_agency,Brandon Upright | AI For Real Estate,TOP 10 AI Tools for Real Estate Agents in 2025 | Realtor-Approved AI for Productivity & Leads,18245,B2B,real estate,,,,,,,online course and academy,"Real Estate Clone 360, Autopilot Agent Academy",through online courses and educational content,,solo,AI tools can significantly boost productivity and lead generation for real estate agents.,,https://www.youtube.com/watch?v=uSECMuQL9FA
7,general_ai_agency,Dustin Brohm - Massive Agent,6 AI Tools for Real Estate Agents You Never Knew Existed (Until Now),1047,B2B,real estate,,,,,,,online platforms,Wispr Flow,through online promotions and free trials,,solo,Real estate agents can significantly improve their efficiency and effectiveness by integrating AI tools into their workflow.,,https://www.youtube.com/watch?v=uUJrVvB038Y
7,general_ai_agency,WarriorRags,"AI Is Changing the Game For Home Services like HVAC, Plumbing, Roofing, and General Contracting",16,B2B,home services,,,,,,,,,,,,AI can significantly enhance operational efficiency and customer service in home services industries.,,https://www.youtube.com/watch?v=upckCo3xqPA
7,general_ai_agency,Wholesale Ted,The Best Claude AI Business Ideas For Beginners,201704,Both,general,,,,,null,,online platforms,Claude AI,leveraging AI capabilities to create marketable products,,small team,Utilizing Claude AI to innovate and create unique business offerings can be a lucrative opportunity for beginners.,Check out what people are creating (and selling!) with Claude AI - it's crazy...,https://www.youtube.com/watch?v=us_9ogFJRUo
7,content_creation,Chris Koerner on The Koerner Office Podcast,The Laziest AI Side Hustle Just Got Even Easier,55539,Both,content creators,,,,,project_based,,online platform,"Claude, Higgsfield's MCP",YouTube channel promotion,,solo,Using AI tools can simplify the process of creating content for YouTube channels.,,https://www.youtube.com/watch?v=utOHNPN0IlQ
7,general_ai_agency,Dan Martell,Laziest Way to Make Money with AI (Starting From Zero),1397334,Both,,,,,,,,Online guidance and mentorship,,Through Instagram messaging,,solo,Starting an AI-first software company can be simplified with the right guidance.,,https://www.youtube.com/watch?v=uz_3dSU8rQo
7,social_media,Latasha James,My Favorite AI Tool for Social Media Marketing,7205,B2B,social media marketers,,,,,subscription,,online platform,Metricool,sponsorships and promotions,,solo,Using AI tools can enhance social media marketing efficiency.,,https://www.youtube.com/watch?v=v2Dx-k0-S9Y
7,general_ai_agency,Kyran Rawson,I Tried An AI Agency For A Week (RAW RESULTS),8218,Both,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=v94X5OeEhKw
7,content_creation,Alfie Carter,Create Realistic AI Ads from One Image (Consistent Character + Products),228919,B2B,"advertising, marketing",,,,,project_based,,digital delivery,AI tools,,,1-2,Using AI to create consistent ad visuals from a single image can enhance brand storytelling.,,https://www.youtube.com/watch?v=vMzwO1kRX70
7,general_ai_agency,Sam Knight | AI Simplified,I built my own AI agent with Claude COWORK,160,B2B,small business owners,,,,,subscription,saves 20+ hours a week,AI agent,Claude Cowork,,,solo,AI agents can significantly reduce workload for business owners.,Claude Cowork handles work that used to take me 20+ hours a week.,https://www.youtube.com/watch?v=vUXj1Godu1k
7,micro_saas,Adam Lyttle,These AI wrapper apps are making MILLIONS,24407,Both,various industries,,,,,subscription,making millions,online platforms,AI technologies,leveraging existing AI platforms and marketing to niche audiences,short development time,1-2,AI wrapper apps can be built easily by creating simple front-ends for existing AI technologies.,AI wrapper apps are quietly making millions—and they're insanely easy to build.,https://www.youtube.com/watch?v=vXYqZYyxaUQ
7,voice_agent,SixFlow Automations,Best AI Voice Agency Niches for Beginners in 2026,674,B2B,various industries,,,,,,,online platforms,AI voice technology,community engagement and online marketing,,small team,Identifying the right niche is crucial for success in the AI voice agency space.,Join the SixFlow Skool Community to learn more about AI voice opportunities.,https://www.youtube.com/watch?v=vdW8p9AtPQ8
7,general_ai_agency,Julia McCoy,How to Build Your Own AI Business in 2026: The Complete Roadmap,37762,Both,technology entrepreneurs,10,,10,,subscription,,online platform,Abacus AI Deep Agent,,,small team,"Building a software business is becoming increasingly affordable, with costs as low as $10 a month.",Building a real software business now costs $10 a month.,https://www.youtube.com/watch?v=vpO5afs8IgY
7,general_ai_agency,Simon Squibb,These 7 Ways To Use AI Will Make You Rich In 2026,60571,Both,various industries,,,,,,potential to make you rich by 2026,online strategies,.Online domain,,,solo,Utilizing AI strategies can significantly impact business growth and wealth accumulation.,Use these 7 AI hacks to transform your business.,https://www.youtube.com/watch?v=vtyMuOxFZvs
7,general_ai_agency,Hyperautomation Labs,How I'd Build a $10K/Month AI Business Using Only Claude Code,194,Both,general,,,,,subscription,$10K/month,online platform,Claude Code,leveraging AI tools for efficiency and outreach,,solo,Utilizing Claude Code for automation can streamline operations and reduce the need for a large team.,Dario Amodei predicts a billion-dollar one-person company by 2026.,https://www.youtube.com/watch?v=wIEbCd442v4
7,workflow_automation,Nate Herk | AI Automation,How to Price AI Workflows (Without Losing Clients),33012,B2B,,,,,,setup_plus_retainer,,,,,,1-2 people,Focus on pricing strategies that balance client retention with profitability.,,https://www.youtube.com/watch?v=wIcw0T9NhZM
7,content_creation,Build Great Products,"How to Design a $10,000 Brand with Google's Nano Banana AI (Step by Step)",182148,B2B,branding and design,,,,,project_based,make $5-50k+ with your app,online course or tutorial,Google's Nano Banana AI,through community engagement and online presence,,solo,Utilizing advanced AI tools like Google's Nano Banana AI can significantly enhance brand design capabilities.,Join my community for AI builders.,https://www.youtube.com/watch?v=woE-5gO6alM
7,general_ai_agency,Joshua Mayo,4 Ways to Make Money With Claude AI That Nobody Is Talking About,90881,Both,"technology enthusiasts, entrepreneurs",,,,,,,online tutorials and guides,Claude AI,through online content and tutorials,,solo,Explore unconventional methods to leverage AI tools for income generation.,Nobody is talking about these methods to make money with Claude AI.,https://www.youtube.com/watch?v=wz9CmUZ4jRg
7,general_ai_agency,Adam Enfroy,The NEW Way to Make Money with AI in 2026 (For Beginners),3312,Both,online income seekers,,,,,null,potential to make money online,online training,AI tools,through online training and resources,,solo,Leveraging AI for new income streams is accessible to beginners.,Discover the secret to making money online with AI.,https://www.youtube.com/watch?v=xQEVBrZse0E
7,general_ai_agency,GHL Wizard,The Trick No One Tells You About Selling AI to Restaurants,2512,B2B,restaurants,,,,,null,,consulting and implementation,GHL (Go High Level),Through community engagement and offering bonuses,,small team,Utilizing unique selling propositions and community-driven bonuses to attract restaurant clients.,Snapshot is in the community along with over $15000 other bonuses.,https://www.youtube.com/watch?v=xUxhgIvsUcE
7,general_ai_agency,REDX Real Estate Prospecting Solutions,How Real Estate Agents Use AI to Get More Listings (Agentic AI Explained),433,B2B,real estate,,,,,subscription,,software platform,Agentic AI,through real estate prospecting solutions like REDX,,small team,AI can significantly enhance the prospecting and listing acquisition process for real estate agents.,AI is changing real estate faster than ever—and the agents who adapt NOW are the ones getting ahead.,https://www.youtube.com/watch?v=xVUrxWEID0o
7,content_creation,Wealth Wisdom,How I Create and Sell AI Books in GHOST Niches on Amazon KDP (Copy Me),5285,B2C,"self-publishing, authors, entrepreneurs",,,,,project_based,,ebooks published on Amazon KDP,Amazon KDP,leveraging Amazon's platform for visibility,,solo,Targeting ghost niches can reduce competition and increase sales potential.,,https://www.youtube.com/watch?v=xe-FSqXQU28
7,content_creation,Jensen Tung,7 Best AI Side Hustles To Start From $0 In 2026,29774,Both,"content creators, marketers",,,,,subscription,,online platform,InVideo,promoted through YouTube channel,,solo,Utilize free tools to start creating AI-driven content with minimal investment.,,https://www.youtube.com/watch?v=xl0uNpdIgME
7,outbound_calling,Jeff and Charles Explain,Watch Me Book 2 Meetings Under an Hour (Ai Agency Cold Calling),983,B2B,general businesses,,,,,null,,demonstration via video,GoHighLevel,cold calling,,solo,Using AI tools like GoHighLevel can enhance the efficiency of cold calling.,,https://www.youtube.com/watch?v=xnlIeFw_3G4
7,general_ai_agency,Nick Saraev Daily Updates,How to Pick a Niche for your AI Automation Agency in 2025,4065,B2B,industries,,,,,,,,,,,,Specializing in a specific niche can help AI automation agencies stand out and attract more clients.,,https://www.youtube.com/watch?v=xwZW4hzTVZQ
7,general_ai_agency,Nate Herk | AI Automation,"How to Actually Deliver AI Projects (APIs, Hosting & Handover Explained)",78793,B2B,"technology, software development",,,,,project_based,,online courses and support,"APIs, hosting platforms",through educational content and courses,,small team,Effective project handover is crucial for client satisfaction and project success.,'The handover process is just as important as the project development itself.',https://www.youtube.com/watch?v=xxARTGo_Oqg
7,general_ai_agency,Wealth Wisdom,The One Person AI Business Nobody Is Copying Yet (Full Walkthrough),6123,B2B,various industries,,,,,subscription,,online platform,MiniMax Agent,through online marketing and platform subscriptions,,solo,Leveraging AI tools can create a sustainable business model with minimal competition.,Explore MiniMax Agent for a unique AI business opportunity.,https://www.youtube.com/watch?v=yHsNicQlKbc
7,recruiting_automation,OceanLeads | Recruitment Outreach,The Best AI Tools for Recruiters in 2026,912,B2B,recruitment,,,,,,,online tools,,strategy calls via Calendly link,,small team,Using the right AI tools can significantly enhance recruitment processes.,,https://www.youtube.com/watch?v=ybPrt-n9KqA
7,email_automation,Tom Hartnell,How to Automate Cold Email Outreach with AI in 2026,235,B2B,businesses looking to enhance their email outreach,,,,,subscription,,online platform and templates,AI tools for email automation,through website and LinkedIn,,solo,Using AI to personalize and automate cold email outreach can significantly improve engagement rates.,,https://www.youtube.com/watch?v=ybQNRgVCKoA
7,outbound_calling,Magomed Kh,150 cold calls and 7 meetings booked ,1075,B2B,general businesses,,,,,,,phone calls,,cold calling,,solo,Persistence in cold calling can lead to successful meeting bookings.,,https://www.youtube.com/watch?v=ycPyvSe8zHo
7,general_ai_agency,Automate AI Consulting,The Truth About Selling AI Automations to Businesses,1184,B2B,various industries,,,,,subscription,,software platform,SYNTX,,,small team,Integrating multiple AI tools into one platform can significantly enhance efficiency for businesses.,,https://www.youtube.com/watch?v=yrCaMXQdQdg
7,general_ai_agency,Nick Saraev Unfiltered and Nick Saraev,"If you want to sell AI services, please watch this first",4312,Both,,,,,,,,online training,,,,,Understanding the market and positioning your AI services effectively is crucial for success.,,https://www.youtube.com/watch?v=yw2COsvvvwI
7,recruiting_automation,Automindz Solutions,How to Find Clients & Candidates For Your Recruitment Agency With AI,1804,B2B,recruitment agencies,,,,,null,,strategy calls and AI playbook,AI tools,strategy calls and offering a free AI playbook,,small team,Using AI can significantly streamline the process of finding clients and candidates in recruitment.,,https://www.youtube.com/watch?v=zAn1f-Pti7E
7,general_ai_agency,Pavlo Demchenko,Building an AI Automation Agency from Scratch - What's coming?,76,Both,,,,,,,,,,,,solo,Starting an AI agency from scratch involves sharing the journey and insights through a YouTube channel.,,https://www.youtube.com/watch?v=zVfOFyXVBio
7,general_ai_agency,Duncan Rogoff | AI Automation,How I Use Claude Code to Build a Profitable Personal Brand Without a Team,48112,Both,personal branding,9,9,,,subscription,I went from 1500 to 10000 LinkedIn followers,online course,Claude Code,promotion through LinkedIn and YouTube,,solo,Using AI tools like Claude Code can significantly grow your personal brand without needing a large team.,Learn Claude Code. Only $9.,https://www.youtube.com/watch?v=z_rXNjNnx7s
7,general_ai_agency,Serge Szumi,Watch Me Book 5 Meetings in 24 Hours (ai agency cold calling),736,B2B,local businesses,,,,,null,,cold calling,,cold calling,,solo,Cold calling can be an effective method for booking meetings quickly.,,https://www.youtube.com/watch?v=zsaPbhj2AKA
7,general_ai_agency,Evan Seech,How To Scale An Agency To 6 Figures ($0–$100K Blueprint),2314,B2B,digital marketing agencies,,,,,subscription,scale to six figures,online course or coaching program,,through online marketing and networking,,small team,Focus on scalable systems and processes to grow the agency efficiently.,"To scale your agency, you need to focus on building systems that can handle increased demand without sacrificing quality.",https://www.youtube.com/watch?v=zvmdL0FX1_U
6,general_ai_agency,Conduit AI,Selling AI to the oldest restaurant in California,69,B2B,hospitality,,,,,null,,consultation and implementation,,door-to-door sales,,small team,Even traditional businesses can benefit from AI solutions.,No business is ever too old to implement AI.,https://www.youtube.com/watch?v=3XGXUv2WpwY
6,general_ai_agency,Dental Claim Support,AI in the Dental Industry: Friend or Foe? What Every Dentist Needs to Know,508,B2B,dental industry,,,,,consulting,,consultation,,free consultation offer,,small team,AI can enhance revenue cycle management in dental practices.,,https://www.youtube.com/watch?v=8ZDkD14gueU
5,consulting,Jasper Aiken,Become An Elite Cold Caller And Get Agency Clients,1024,B2B,marketing agencies,,,,,null,,online course or community,GoHighLevel,cold calling techniques,,solo,Cold calling can be an effective method to acquire agency clients.,,https://www.youtube.com/watch?v=0lEttZq4dCc
5,general_ai_agency,Cole Medin,The ONLY AI Tech Stack You Need in 2026,49705,Both,"technology enthusiasts, businesses looking to integrate AI",,,,,,,Video content,AI technologies,Through content creation and sharing knowledge on YouTube,,solo,Focus on integrating essential AI technologies to stay ahead in 2026.,At this point I've covered basically all of the technologies I use in my tech stack throughout my content.,https://www.youtube.com/watch?v=21_k2St8bBI
5,general_ai_agency,Journey With The Hintons,COPY THIS NEW Google AI Side Hustle Before Everyone Else,79610,Both,general,,,,,null,,online tutorials or guides,Google AI,through online platforms and personal networks,,solo,Utilizing Google AI tools for creating a side hustle can be a lucrative opportunity.,Copy this new Google AI side hustle before everyone else.,https://www.youtube.com/watch?v=3fMNVFmm4CU
5,content_creation,Jasper Aiken,How To Make AI Generated Videos For Your Agency Content & Ads,921,B2B,marketing agencies,,,,,project_based,,online tutorials or software tools,AI video generation tools,through online marketing and content promotion,,solo,Utilizing AI tools can streamline video content creation for agencies.,AI is becoming like everything. Every everything's AI.,https://www.youtube.com/watch?v=48JoDB3S9y8
5,general_ai_agency,AI Master,AI Agents Explained: How to Create and Use AI Agents in 2026,36322,Both,various industries,,,,,subscription,,online tutorials and guides,,through educational content and promotions,,small team,Understanding the future applications of AI agents can provide a competitive edge.,,https://www.youtube.com/watch?v=4TvH-OZhwxI
5,general_ai_agency,Serge Gatari,The Harsh Truth About Getting Rich With AI,2712,Both,,,,,,,,,,,,,Understanding the challenges and realistic expectations in the AI industry is crucial for success.,,https://www.youtube.com/watch?v=4dRQKfJ3l0M
5,general_ai_agency,CNBC International,How AI is helping brands identify consumer trends faster,30975,B2B,"retail, consumer goods",,,,,,,AI technology and data analysis,AI,,,small team,"AI can significantly speed up the process of identifying consumer trends, providing a competitive edge.",,https://www.youtube.com/watch?v=4fFZE41fdGw
5,micro_saas,BridgeMind,"Day 182 – Vibe Coding an App Until I Make $1,000,000 | ARR: $185,808",0,Both,"tech enthusiasts, entrepreneurs",,,,,subscription,"ARR: $185,808",digital product,MacBook Pro M5 Max,organic growth through content creation,,solo,Consistency and dedication in coding can lead to significant revenue.,,https://www.youtube.com/watch?v=5PkiPBAp_a4
5,general_ai_agency,AI Daily,Top AI Agent Tool (Best Workflows 2026),2334,B2B,professional services,,,,,,,software platform,,,,,The tool is optimal for addressing intent professional queries.,,https://www.youtube.com/watch?v=5ZScrFzolZI
5,consulting,Dave Ebbelaar,How to Find Freelance Data & AI Projects,61390,B2B,freelancers in data and AI,,,,,null,,online content,,educational content to attract freelancers,,solo,Focus on building a strong portfolio and networking to find freelance projects.,,https://www.youtube.com/watch?v=66Y02L2OhEs
5,consumer_product,Good Morning America,Major retailers introducing AI to the shopping experience,9517,B2C,retail,,,,,,,in-store and online integration,AI,,,,"AI is being used to gain a competitive edge in the retail industry, especially during peak shopping seasons.",,https://www.youtube.com/watch?v=7B8GaSS0Bro
5,content_creation,Passive Biz Lucca,"I Made $7,500 in 3 Days Selling PDFs (Using Nano Banana)",494083,Both,digital products,,,,,project_based,"$7,500 in 3 days",online platform,Nano Banana,online marketing,,solo,Using a unique method called Nano Banana to sell PDFs effectively.,Ready to start your own Passive PDF empire?,https://www.youtube.com/watch?v=7u1zBp9Yti8
5,consumer_product,CNBC Television,54% of consumers use AI for holiday shopping support: Simon-Kucher,1177,B2C,retail,,,,,,,AI-driven shopping support,,,,,AI is increasingly becoming a tool for consumers during the holiday shopping season.,54% of consumers use AI for holiday shopping support.,https://www.youtube.com/watch?v=8L7HYREBYd0
5,general_ai_agency,The Aurum Group,AI in Dentistry: Practical Applications for Modern Dental Practices,144,B2B,dental industry,,,,,,,webinar,,,,,AI is positioned as an advantage rather than just a future concept in dentistry.,AI in Dentistry Isn't the Future — It's the Advantage,https://www.youtube.com/watch?v=8kohN98MUek
5,general_ai_agency,Shark Numbers,Top 3 Business Ideas For Vibe Coders,2608071,B2B,"technology, software development",,,,,null,,consulting and development services,Matter by JetBrains,through showcasing innovative AI solutions and networking within tech communities,,small team,Developers can capitalize on AI by creating tools that automate and enhance coding processes.,Turn Ideas Into Working Websites — Just Describe What You Want.,https://www.youtube.com/watch?v=9mXZbiCP99M
5,general_ai_agency,Liam Ottley,How to Hire Your First AI Agency Developer - Complete Guide,15304,B2B,AI entrepreneurs,,,,,null,,consultation and guidance,,through community engagement and networking,,small team,The importance of connecting with a community of AI entrepreneurs for support and guidance.,,https://www.youtube.com/watch?v=A7Cr8jM83Zs
5,general_ai_agency,Jeff Su,AI Agents explained in 3 steps,625222,Both,,,,,,,,YouTube video,ChadBt,,,,Understanding AI agents through large language models.,,https://www.youtube.com/watch?v=BF2k_fKuCVM
5,general_ai_agency,Pavlo,how to set up and use SORA 2 (to make money),21577,Both,,,,,,,,online course,SORA 2,,,,,,https://www.youtube.com/watch?v=BqvbsJ8u8c4
5,consulting,Brandon Mulrenin,I found the best cold calling script of all time,50421,B2B,real estate agents,,,,,subscription,,virtual workshops and coaching sessions,,through YouTube channel and links to workshops,,solo,Effective cold calling scripts can significantly improve sales outcomes for real estate agents.,,https://www.youtube.com/watch?v=BrBL0YoPSBo
5,general_ai_agency,Christian Peverelli - WeAreNoCode,7 Levels of Mastering AI,1368,Both,"technology startups, entrepreneurs",,,,,,,"online courses, community access",,through online community and resources,,small team,Mastering AI involves understanding different levels of complexity and application.,,https://www.youtube.com/watch?v=CP7Aj-7jers
5,general_ai_agency,"CFI Global Management, LLC - Topic",Lesson 4 - Case Studies Real AI-Driven Ad Campaign Results,17,B2B,advertising,,,,,,,case studies,,,,,AI can significantly enhance ad campaign performance.,,https://www.youtube.com/watch?v=CWbo5r-FFVE
5,general_ai_agency,Nathan Hodgson,Simplest AI Agent Using Claude #ai #aiagent #aiagents #artificialintelligence,148221,Both,technology,,,,,,,online tutorial,Claude,,,solo,Using Claude to create AI agents can simplify the process of implementing AI solutions.,,https://www.youtube.com/watch?v=CklJLElBtNM
5,micro_saas,Starter Story,I vibe coded a $20K/month mobile app in 14 days,528899,B2C,mobile app users,,,,,subscription,$20K/month from the app,mobile app,,,14 days,solo,Rapid development and launch of a profitable app using vibe coding.,,https://www.youtube.com/watch?v=CwHD6Fg-Mjs
5,general_ai_agency,Silent Intelligence,Why Some AI Wrapper Startups Still Make Money,174,Both,,,,,,,,,,,,,AI wrapper startups can still succeed by finding unique value propositions or niches.,,https://www.youtube.com/watch?v=EnpXo_nXQW4
5,general_ai_agency,Hasan Aboul Hasan,AI-Powered Affiliate Marketing — Full Course for Beginners (2026),672664,B2C,affiliate marketing,,,,,subscription,make money online per clicks,online course,AI tools,YouTube channel and course promotion,,solo,AI can enhance affiliate marketing strategies for beginners.,If you're a complete beginner and looking for a Real Legit Honest way to make money online per clicks! then you are in the right place.,https://www.youtube.com/watch?v=FE7ezniiOT0
5,workflow_automation,Nate Herk | AI Automation,How I'd Learn n8n if I had to Start Over in 2026,260321,Both,"tech enthusiasts, automation professionals",,,,,null,,"online courses, support",n8n,"YouTube channel, online presence",,solo,Focus on practical application and community engagement to learn n8n efficiently.,"If I had to start over, I'd dive into real-world projects immediately.",https://www.youtube.com/watch?v=Fqeo8q8-nJg
5,general_ai_agency,Jeff Su,"AI Agents, Clearly Explained",4358960,Both,general,,,,,,,,,,,,AI agents can be applied across various industries to automate tasks and improve efficiency.,,https://www.youtube.com/watch?v=FwOTs4UxQS4
5,general_ai_agency,Oliver Rasmussen,How to choose the right niche to sell your AI agents,1282,Both,industries,,,,,,,,,Leveraging personal knowledge and connections to identify and target the right niche.,,,Use your existing knowledge and connections to identify a niche for AI agents.,,https://www.youtube.com/watch?v=GQ_EsiN_kKc
5,consulting,Brendan Bartic,AI-Powered Objection Handling: The #1 Skill Top Agents Master in 2025,1749,B2B,real estate agents,,,,,null,,consulting sessions or training,AI tools for objection handling,through educational content and free resources like books,,solo,Mastering AI-powered objection handling is essential for future success in real estate.,The #1 skill top agents will master by 2025 is AI-powered objection handling.,https://www.youtube.com/watch?v=GuXG7O3pF6Y
5,general_ai_agency,Sam Knight | AI Simplified,Why AI ie existential for your business (and what to do about it),29,Both,general business,,,,,,,consultation and strategy sessions,,,,solo,AI is not just an enhancement but a fundamental shift in business operations.,"AI isn't just changing the game, it's completely rewriting the rules of business.",https://www.youtube.com/watch?v=H9e1pnzAumY
